Training_set,ML_method,Precision,Recall,F1
train_1,SVM,0.766198339835157,0.896338743437532,0.826174963628313
train_1,Random Forest,0.852393874781935,0.905363209003878,0.878080436627452
train_1,KNN,0.824485891917743,0.887348591428473,0.854763006544589
train_1,CNN,0.546581637437869,0.999931372885427,0.706808314535885
train_2,SVM,0.721536435200784,0.816838893127124,0.766235667235911
train_2,Random Forest,0.814743629487259,0.91136694639018,0.860350923137358
train_2,KNN,0.693838038049273,0.857445037797351,0.767014082759476
train_2,CNN,0.859639358860196,0.267806366599625,0.408386653270583
train_3,SVM,0.8414347243838,0.794097554310698,0.817081100079079
train_3,Random Forest,0.878286639787725,0.870576581500205,0.874414615318638
train_3,KNN,0.842187440496592,0.755396912146468,0.796434680831908
train_3,CNN,0.549596244131455,0.999658423281869,0.709255265007392
train_1,EnS_avg_th_50,0.892776824852297,0.803692138764026,0.845895481960345
train_2,EnS_avg_th_50,0.853270784467031,0.90824606422082,0.879900561023952
train_3,EnS_avg_th_50,0.885493174733976,0.8442068588605,0.864357283998111
train_1,EnS_avg_th_90,0.927233159917032,0.935696393645129,0.93144555267113
train_2,EnS_avg_th_90,0.921816191062752,0.934218739163604,0.927976026453568
train_3,EnS_avg_th_90,0.926770258297553,0.928986200300587,0.927876906280918
