,ML_method,Training_set,N_Retrains,Queries_to_Oracle,F1,Normal_traffic_label_err_rate_FPR,Botnet_label_err_rate_FNR,Number_of_Samples_trained,Precision,Recall,Training_Time,Testing_Time,Tuning_Time,Number_of_Clusters,Cluster Noises,Prob_1s,init_train_sample_sz,init_batch_sz
0,CNN_EnS_avg,train_1,1,0,0.028387968908415006,1.0,1.0,500.0,1.0,0.014398354473774426,8.504331588745117,5.546369314193726,146.27343010902405,0,0,0.0,0,500
1,RF_EnS_avg,train_1,1,0,0.7397260273972602,1.0,1.0,500.0,0.8787735849056604,0.6386698663009942,0.5873496532440186,0.15718793869018555,33.91431021690369,0,0,0.0,0,500
2,KNN_EnS_avg,train_1,1,0,0.8277153558052435,1.0,1.0,500.0,0.8221170104835982,0.8333904696606103,0.005562305450439453,0.5985302925109863,5.908273935317993,0,0,0.0,0,500
3,EnS_avg,train_1,1,0,0.8672817601135558,1.0,1.0,500.0,0.8988598749540272,0.8378471031882071,9.097243547439575,5.967143297195435,5.908273935317993,0,0,0.0,0,500
4,CNN_EnS_avg,train_1,2,24,0.18198815830476783,0.0,0.06382978723404253,1000.0,1.0,0.10010284538909839,8.886744022369385,0.9229753017425537,135.0167841911316,3,0,0.0,0,500
5,RF_EnS_avg,train_1,2,24,0.7304075235109718,0.0,0.06382978723404253,1000.0,0.8523090992226795,0.6390126842646555,0.298417329788208,0.08591842651367188,34.96670341491699,3,0,0.0,0,500
6,KNN_EnS_avg,train_1,2,24,0.861319073083779,0.0,0.06382978723404253,1000.0,0.8971407352395099,0.8282482002056908,0.007109403610229492,0.9283225536346436,6.9498631954193115,3,0,0.0,0,500
7,EnS_avg,train_1,2,24,0.8782562466772993,0.0,0.06382978723404253,1000.0,0.909024211298606,0.8495029139526912,9.192270755767822,6.027729749679565,6.9498631954193115,3,0,0.0,0,500
8,CNN_EnS_avg,train_2,1,0,0.049127343244990296,1.0,1.0,500.0,1.0,0.025182239893969515,6.263005971908569,1.1978988647460938,108.55377769470215,0,0,0.0,0,500
9,RF_EnS_avg,train_2,1,0,0.887584815697781,1.0,1.0,500.0,0.9938398357289527,0.8018555334658715,0.295825719833374,0.07749629020690918,33.2261381149292,0,0,0.0,0,500
10,KNN_EnS_avg,train_2,1,0,0.8397511848341233,1.0,1.0,500.0,0.7592394215318693,0.9393638170974155,0.005209922790527344,0.2868082523345947,5.341673135757446,0,0,0.0,0,500
11,EnS_avg,train_2,1,0,0.9345096708517137,1.0,1.0,500.0,0.9575799721835884,0.9125248508946322,6.564041614532471,6.9780943393707275,5.341673135757446,0,0,0.0,0,500
12,CNN_EnS_avg,train_2,2,10,0.39211507725093236,0.0,0.011363636363636354,1000.0,1.0,0.243870112657389,7.4645631313323975,0.9925127029418945,133.8611364364624,3,0,0.0,0,500
13,RF_EnS_avg,train_2,2,10,0.8695652173913043,0.0,0.011363636363636354,1000.0,0.9953011533532679,0.7720344599072233,1.8607027530670166,0.4269216060638428,36.66466283798218,3,0,0.0,0,500
14,KNN_EnS_avg,train_2,2,10,0.7938829787234042,0.0,0.011363636363636354,1000.0,0.7965310206804537,0.7912524850894632,0.008192300796508789,0.9501643180847168,7.757332801818848,3,0,0.0,0,500
15,EnS_avg,train_2,2,10,0.8270251149628582,0.0,0.011363636363636354,1000.0,0.8869499241274659,0.7746852220013254,9.333458185195923,6.465469121932983,7.757332801818848,3,0,0.0,0,500
16,CNN_EnS_avg,train_3,1,0,0.5760667903525046,1.0,1.0,500.0,0.9880668257756563,0.4065466448445172,4.625066041946411,1.32155442237854,104.16558480262756,0,0,0.0,0,500
17,RF_EnS_avg,train_3,1,0,0.9350605079256861,1.0,1.0,500.0,0.9754623044096729,0.8978723404255319,0.27351927757263184,0.08423805236816406,30.01683807373047,0,0,0.0,0,500
18,KNN_EnS_avg,train_3,1,0,0.8037697744867047,1.0,1.0,500.0,0.8271562175268444,0.7816693944353519,0.0043201446533203125,0.34113478660583496,6.705711364746094,0,0,0.0,0,500
19,EnS_avg,train_3,1,0,0.8823821339950373,1.0,1.0,500.0,0.8919732441471572,0.8729950900163667,4.902905464172363,5.9132232666015625,6.705711364746094,0,0,0.0,0,500
20,CNN_EnS_avg,train_3,2,20,0.5068426197458454,0.0,0.11702127659574468,1000.0,1.0,0.339443535188216,7.487823009490967,0.998868465423584,123.49799418449402,5,0,0.0,0,500
21,RF_EnS_avg,train_3,2,20,0.9405204460966544,0.0,0.11702127659574468,1000.0,0.97205728257073,0.9109656301145663,2.4702494144439697,0.5898363590240479,44.99284291267395,5,0,0.0,0,500
22,KNN_EnS_avg,train_3,2,20,0.8458230958230958,0.0,0.11702127659574468,1000.0,0.7966444894417125,0.9014729950900163,0.007833003997802734,0.8305819034576416,7.586456537246704,5,0,0.0,0,500
23,EnS_avg,train_3,2,20,0.9111956341987762,0.0,0.11702127659574468,1000.0,0.9207887700534759,0.9018003273322422,9.96590542793274,6.767812728881836,7.586456537246704,5,0,0.0,0,500
